produto-id;id-acabamento;id-cor;id-fabricante;produto-imagem;produto-marca;produto-nome;produto-nome-resumido
87088386;3;20;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_semibrilho_metalatex_brilho__areia_3.6l__87088386_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Semibrilho Metalatex Brilho Perfeito Premium Areia 3.6L Sherwin Williams;Tinta Acrílica Semibrilho Metalatex Brilho...
87296762;3;13;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_semibrilho_metalatex_brilho_erva_doce_3.6l__87296762_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Semibrilho Metalatex Brilho Perfeito Premium Erva Doce 3.6L Sherwin Williams;Tinta Acrílica Semibrilho Metalatex Brilho E...
90372730;1;25;2;https://cdn.leroymerlin.com.br/products/acrilica_fosco_premium_fosco_completo_cashmere_18l_90372730_0001_600x600.jpg;Suvinil;Tinta Acrílica Premium Fosco Completo Cashmere 18L;Acrilica Fosco Premium Fosco Completo Cashme...
89669650;3;6;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_semi_brilho_premium_decora_gelo_18l_coral_89669650_0001_600x600.jpg;Coral;Tinta Acrílica Semi Brilho Premium Decora Gelo 18L Coral;Tinta Acrílica Semi Brilho Premium Decora Ge...
87088022;3;11;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_semibrilho_metalatex_brilho_palha_18l__87088022_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Semibrilho Metalatex Brilho Perfeito Premium Palha 18L Sherwin Williams;Tinta Acrílica Semibrilho Metalatex Brilho P...
90372772;1;22;2;https://cdn.leroymerlin.com.br/products/acrilica_fosco_premium_fosco_completo_terra_roxa_3.6l_90372772_0001_600x600.jpg;Suvinil;Tinta Acrílica Premium Fosco Completo Terra Roxa 3.6L;Acrilica Fosco Premium Fosco Completo Terra...
88568480;1;14;6;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_decora_paredes_mel_2.5l_elegance_88568480_0001_600x600.jpg;Ibratin;Tinta Acrílica Fosco Decora Paredes Premium Mel 2.5L Elegance;Tinta Acrílica Fosco Decora Paredes Mel 2.5L...
89705735;1;3;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosca_total_sec_premium_barco_a_remo_3.6l_coral_89705735_0001_600x600.jpg;Coral;Tinta Acrílica Fosca Total S&C Premium Barco A Remo 3.6L Coral;Tinta Acrílica Fosca Total S&C Premium Barco...
89705721;1;3;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosca_total_sec_premium_barco_a_remo_18l_coral_89705721_0001_600x600.jpg;Coral;Tinta Acrílica Fosca Total S&C Premium Barco A Remo 18L Coral;Tinta Acrílica Fosca Total S&C Premium Barco...
87247412;1;13;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_metalatex_premium_erva_doce_18l__87247412_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Perfeito Metalatex Premium Erva Doce 18L Sherwin Williams;Tinta Acrílica Fosco Metalatex Premium Erva...
85185814;1;6;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_metalatex_premium_branco_gelo_3.6l__85185814_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Perfeito Metalatex Premium Branco Gelo 3.6L Sherwin Williams;Tinta Acrílica Fosco Metalatex Premium Branc...
89705665;1;24;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosca_total_sec_premium_algodao_egipcio_18l_coral_89705665_0001_600x600.jpg;Coral;Tinta Acrílica Fosca Total S&C Premium Algodão Egípcio 18L Coral;Tinta Acrílica Fosca Total S&C Premium Algod...
86378460;1;14;2;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_completo_premium_mel_3.6l_suvinil_86378460_0001_600x600.jpg;Suvinil;Tinta Acrílica Fosco Completo Premium Mel 3.6L Suvinil;Tinta Acrílica Fosco Completo Premium Mel 3....
87085691;1;20;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_metalatex_areia_3.6l_sherwin_williams_87085691_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Perfeito Metalatex Premium Areia 3.6L Sherwin Williams;Tinta Acrílica Fosco Metalatex Areia 3.6L Sh...
