id;loja-id;produto-id;produto-link;produto-preco
47;1;87949652;https://www.leroymerlin.com.br/tinta-acrilica-fosco-completo-premium-uva-verde-18l-suvinil_87949652;399
48;1;87224256;https://www.leroymerlin.com.br/tinta-para-litoral-acetinado-metalatex-perola-guaruja-3.6l-sherwin-williams_87224256;104
49;1;87640000;https://www.leroymerlin.com.br/tinta-acrilica-fosco-metalatex-eco-premium-vermelha-rustico-3.6l-sherwin-williams_87640000;92
50;1;87660454;https://www.leroymerlin.com.br/tinta-acrilica-fosco-protecao-sol-e-chuva-premium-branco-3.6l-coral_87660454;122
51;1;87640035;https://www.leroymerlin.com.br/tinta-acrilica-fosco-perfeito-metalatex-premium-verde-eco-18l-sherwin-williams_87640035;331
52;1;85438045;https://www.leroymerlin.com.br/tinta-acrilica-fosco-completo-premium-camurca-3.6l-suvinil_85438045;119
53;1;87109071;https://www.leroymerlin.com.br/tinta-para-litoral-acetinado-metalatex-amarelo-camburi-3.6l-sherwin-williams_87109071;104
54;1;89706015;https://www.leroymerlin.com.br/tinta-acrilica-premium-impermeabilizante-fosco-protecao-sol-e-chuva-arquitetura-urbana-3.6l-coral_89706015;123
55;1;89706036;https://www.leroymerlin.com.br/tinta-acrilica-premium-impermeabilizante-fosco-protecao-sol-e-chuva-cogumelo-japones-3.6l-coral_89706036;123
56;1;89705644;https://www.leroymerlin.com.br/tinta-acrilica-fosca-total-sec-premium-algas-profundas-18l-coral_89705644;375
57;1;87106180;https://www.leroymerlin.com.br/tinta-acrilica-fosco-kem-tone-economica-branco-3.6l-sherwin-williams_87106180;42
58;1;86511586;https://www.leroymerlin.com.br/tinta-latex-fosco-a-classica-maxx-premium-amarela-canario-18l-suvinil_86511586;320
59;1;86894290;https://www.leroymerlin.com.br/tinta-acrilica-fosco-novacor-parede-mais-rendimento-standard-areia-3.6l-sherwin-williams_86894290;74
60;1;87106740;https://www.leroymerlin.com.br/tinta-acrilica-fosco-kem-tone-economica-marfim-3.6l-sherwin-williams_87106740;36
