id;nome
1;pérola
2;Camurça
3;outras
4;laranja
5;verde
6;Gelo
7;Verde escuro
8;Marfim
9;Marrom
10;Hortelã
11;palha
12;Rosa
13;Erva Doce
14;mel
15;branco
16;Terracota
17;Seda
18;Cascalho
19;amarelo
20;areia
21;Bronze
22;Roxa
23;Cinza
24;Algodão
25;Cashmere
